Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
Q15819	0.8875489586100687	0.9853539693842411	1.0	0.07080349564368618	false
Q8WW22	N/A	N/A	N/A	N/A	false
P08729	0.7747397579927673	0.006554352873152957	0.01793700039130192	0.08718140898522854	false
P08727	0.8462821184456502	0.013596908033768828	0.05489744264981273	0.052664939038664656	false
Q5VUM1	N/A	N/A	N/A	N/A	false
Q15814	N/A	N/A	N/A	N/A	false
Q15813	0.83974514186855	0.0026888234001233146	0.00618562734082397	0.08959533086731766	false
A8MV57	N/A	N/A	N/A	N/A	false
Q15811	N/A	N/A	N/A	N/A	false
Q13636	N/A	N/A	N/A	N/A	false
Q9UEW8	N/A	N/A	N/A	N/A	false
Q13634	N/A	N/A	N/A	N/A	false
Q13630	N/A	N/A	N/A	N/A	false
A5PL33	N/A	N/A	N/A	N/A	false
Q5M9Q1	N/A	N/A	N/A	N/A	false
Q9NRE2	N/A	N/A	N/A	N/A	false
Q5JVS0	N/A	N/A	N/A	N/A	false
Q99816	N/A	N/A	N/A	N/A	false
Q8IUY3	N/A	N/A	N/A	N/A	false
Q6QHC5	N/A	N/A	N/A	N/A	false
Q8WW12	0.9107497277533713	0.805020263091244	1.0	0.019144831664649087	false
Q6ZWE6	N/A	N/A	N/A	N/A	false
P14136	0.9282248575643351	0.6450166141391349	0.9442963158422262	0.02569086289289466	false
Q5QJE6	0.6078479899074005	0.006898354787427067	0.01844162188568637	0.28929845721900566	true
P35499	N/A	N/A	N/A	N/A	false
P35498	N/A	N/A	N/A	N/A	false
Q9BSK4	N/A	N/A	N/A	N/A	false
Q13620	0.8249132351439153	0.14930451049602678	0.512483211376227	0.02411048268960482	false
Q86W56	N/A	N/A	N/A	N/A	false
Q9BSK2	N/A	N/A	N/A	N/A	false
O75976	N/A	N/A	N/A	N/A	false
Q9H2X9	N/A	N/A	N/A	N/A	false
Q9NRD9	N/A	N/A	N/A	N/A	false
Q9NRD8	N/A	N/A	N/A	N/A	false
Q96GX9	N/A	N/A	N/A	N/A	false
Q9H2X6	N/A	N/A	N/A	N/A	false
Q86W50	N/A	N/A	N/A	N/A	false
O75970	N/A	N/A	N/A	N/A	false
Q8IUX8	N/A	N/A	N/A	N/A	false
P04350	0.9002259161269601	8.272803301177146E-5	0.0	0.06241353803189779	false
Q01668	N/A	N/A	N/A	N/A	false
Q99807	N/A	N/A	N/A	N/A	false
Q8NGM1	N/A	N/A	N/A	N/A	false
Q8IUX4	N/A	N/A	N/A	N/A	false
Q96GX1	N/A	N/A	N/A	N/A	false
Q99805	N/A	N/A	N/A	N/A	false
Q6UXV4	N/A	N/A	N/A	N/A	false
P08709	N/A	N/A	N/A	N/A	false
P08708	0.8976949256559974	0.0012915043704189743	0.00321331290432414	0.05042761568271006	false
Q13619	0.8269498484952746	0.10596526561045976	0.4102639042237665	0.013916529114838075	false
Q13618	0.8033584768786268	N/A	N/A	0.08917752806907511	false
Q13617	N/A	N/A	N/A	N/A	false
Q13616	0.601156510423576	0.0018138716545385999	0.004498638066053797	0.2894416037395329	true
Q13615	N/A	N/A	N/A	N/A	false
Q9BSJ8	0.7317809577792695	0.2082038294829905	0.6139092458061206	0.029469687961033966	false
Q13613	N/A	N/A	N/A	N/A	false
A6NH13	N/A	N/A	N/A	N/A	false
Q86VS8	N/A	N/A	N/A	N/A	false
