Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
D1054.2	0.8614862039910843	0.7732185437082442	0.9996325592468102	0.02218078994843247	false
W08A12.1d	0.7334445122979889	N/A	N/A	0.18278318050651554	false
W08A12.1c	0.7334445122979889	N/A	N/A	0.18278318050651554	false
W08A12.1b	0.7334445122979889	N/A	N/A	0.18278318050651554	false
W08A12.1a	0.7334445122979889	N/A	N/A	0.18278318050651554	false
ZC395.10	0.9156081390978773	0.564742739617597	0.9996325592468102	0.002735823446726589	false
ZK430.8	N/A	N/A	N/A	N/A	false
W08E3.2	N/A	N/A	N/A	N/A	false
W08E3.1	0.8353460434576753	0.8844811669915127	0.9996325592468102	0.04078727471692122	false
C26C6.2	0.8535665403154254	0.9872476548957291	0.9996325592468102	0.058935002462560164	false
ZK430.3	0.5942150432205674	N/A	N/A	0.024058939870379353	false
ZK430.2	0.6523689032942841	0.9104710379133331	0.9996325592468102	0.24168576733154964	true
ZK430.1	0.8326067667431376	0.9971212140100625	0.9996325592468102	0.0988244438354361	false
ZK354.5	0.8582169246527309	0.3170102760876002	0.9996325592468102	0.006422818317041345	false
F42E11.4	0.7911449762260161	0.9821676695657268	0.9996325592468102	0.09881125541198732	false
ZK354.4	0.8582169246527309	0.3170102760876002	0.9996325592468102	0.006422818317041345	false
ZK354.1	0.8582169246527309	0.3170102760876002	0.9996325592468102	0.006422818317041345	false
T03F1.8b	0.7719015122326326	0.8887437320644956	0.9996325592468102	0.07387638536707873	false
T03F1.8a	0.7719015122326326	0.8887437320644956	0.9996325592468102	0.07387638536707873	false
C01F1.2	N/A	N/A	N/A	N/A	false
Y54G11A.9	N/A	N/A	N/A	N/A	false
Y54G11A.7	0.7262364840382475	0.01213057842967253	0.07574435108899585	0.11983203816853136	false
Y54G11A.6	0.8813119734648137	0.8549563188424378	0.9996325592468102	0.02241370652028393	false
Y54G11A.5	0.9024824764273706	0.3222429300586098	0.9996325592468102	0.003278966723222955	false
Y54G11A.4	0.6451040319005156	N/A	N/A	0.0280888681183705	false
C42C1.11c	0.6548399590337585	0.3309783367402496	0.9996325592468102	0.010706673023462256	false
Y54G11A.2	0.6871267556185329	0.08136911207821185	0.8230250289409604	0.06803777823386556	false
C42C1.11b	0.7777777777777778	N/A	N/A	N/A	false
Y54G11A.1	N/A	N/A	N/A	N/A	false
C42C1.11a	0.6542621430101927	0.3441652595048975	0.9996325592468102	0.013599867203656565	false
E04A4.4b	0.5	N/A	N/A	0.06666666666666676	false
E04A4.4a	0.5	N/A	N/A	0.06666666666666676	false
