Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
tr|O69690|O69690_MYCTU	0.5079971615071233	N/A	N/A	0.5180856777283864	true
sp|P9WNV5|DNLI_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WPK3|CARB_MYCTU	0.9080999393603799	5.259497230778445E-4	0.0	0.043177234225955534	false
sp|O06401|MTAP_MYCTU	N/A	N/A	N/A	N/A	false
sp|O53871|Y0859_MYCTU	0.9221014478138954	0.0041080792645013416	0.012298567172800352	0.02864456760568635	false
sp|P9WI73|PKNG_MYCTU	0.8644634304089083	0.5704835907358099	0.9323430453568815	0.03369934656279089	false
tr|I6XES4|I6XES4_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53157|O53157_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJG9|NUOI_MYCTU	0.8744312399543077	0.3806794080201585	0.8226299119352625	0.011532643920220737	false
sp|P9WGS9|DPRE2_MYCTU	0.9279982380009646	0.6163577513547861	0.9582876451507825	0.01582921462888795	false
sp|P9WNF3|MP83_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06298|O06298_MYCTU	0.8652850359357713	0.7338297762069517	1.0	0.02998774462362235	false
tr|P96832|P96832_MYCTU	0.9203014779785116	0.2149479516193289	0.6597027597479885	0.004288393255765157	false
tr|I6YG46|I6YG46_MYCTU	0.8669638518219108	0.5983646550109216	0.9516872465241746	0.0269126010859412	false
sp|P9WNY1|ALDH_MYCTU	0.9173279877604698	0.2444233195295553	0.695124860641485	0.0031839871225651756	false
tr|P95289|P95289_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05572|O05572_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNZ3|DESA3_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WML3|YHI1_MYCTU	0.8914215339914773	0.6932458566349813	0.9921781219748306	0.014637555650496934	false
sp|O53451|MAZE3_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05772|O05772_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05872|O05872_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH23|QCRA_MYCTU	0.8445327620677796	0.0049080174897918934	0.013810742944752114	0.05541609918438875	false
sp|P9WQD7|FAB2_MYCTU	0.9224198318598057	9.459594851188443E-4	0.0	0.03300389540308384	false
tr|I6Y120|I6Y120_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6XW38|I6XW38_MYCTU	0.8343021921969205	1.457141898124755E-4	0.0	0.099818590706336	false
tr|I6Y0L1|I6Y0L1_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y3Q0|I6Y3Q0_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQP1|A85B_MYCTU	0.9693088255447345	0.3680874124213498	0.8099710933882032	0.01040564104891064	false
tr|P96273|P96273_MYCTU	0.8239219629438721	0.00487040309661244	0.013810742944752114	0.07106561778211636	false
sp|P9WKE7|KHSE_MYCTU	0.825347530140131	0.7871502551518533	1.0	0.06490372293342732	false
sp|P9WH03|RNC_MYCTU	0.8564929654553004	0.07275585354128444	0.3520032771953433	0.015562759230853339	false
sp|P9WL65|Y2628_MYCTU	0.8887082563859136	0.29659728969920224	0.7512288229124437	0.002382021471143981	false
tr|P96873|P96873_MYCTU	N/A	N/A	N/A	N/A	false
tr|O33182|O33182_MYCTU	0.8673319577531233	0.8660729009914769	1.0	0.03239211063799039	false
sp|P9WHL7|PURL_MYCTU	0.8852884901708502	2.239339430040479E-4	0.0	0.06833220131189063	false
sp|P9WGJ9|EMBR_MYCTU	0.9340561424938373	0.10209510536732255	0.4441667091251847	0.007485391021514058	false
tr|O33282|O33282_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6YG87|I6YG87_MYCTU	N/A	N/A	N/A	N/A	false
tr|O86348|O86348_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6XFU1|I6XFU1_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNC7|HPPK_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53874|O53874_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKJ7|ILVC_MYCTU	0.9260052562679738	6.58701151477159E-5	0.0	0.03852389426600102	false
sp|P9WIW7|NUOA_MYCTU	0.723358332413756	N/A	N/A	0.3824407008116234	true
sp|P9WKZ7|Y3400_MYCTU	0.8941478355415968	0.00723029959934908	0.022063000786259994	0.037318255299852054	false
tr|P96900|P96900_MYCTU	0.8409023202362512	0.020794555988705464	0.07858560480724713	0.043537898931204716	false
tr|O06417|O06417_MYCTU	N/A	N/A	N/A	N/A	false
sp|O53565|Y3520_MYCTU	0.9076766546660405	0.053599373727990444	0.27937643264499495	0.013875192672370477	false
tr|P95208|P95208_MYCTU	0.78018529587252	1.237842138798691E-6	0.0	0.19635650427200937	false
tr|L0T243|L0T243_MYCTU	N/A	N/A	N/A	N/A	false
