Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
ZK6.10	0.5333333333333334	0.8467564692596432	0.9995692703162754	0.25520833333333354	true
T21H3.3	0.7951201822262344	0.6812875471753134	0.9995692703162754	0.060965427349220606	false
T28F12.3	N/A	N/A	N/A	N/A	false
C17B7.2	1.0	N/A	N/A	0.0	false
T13F2.11	0.9133235005669235	0.5576106308657583	0.9995692703162754	0.0019303827864508526	false
Y54G2A.39	N/A	N/A	N/A	N/A	false
H37A05.1	0.0	N/A	N/A	N/A	false
T19C3.9	0.6645324061331427	0.879164644545314	0.9995692703162754	0.18172455588707878	false
T24F1.1	N/A	N/A	N/A	N/A	false
T19C3.8	N/A	N/A	N/A	N/A	false
Y54G2A.33	N/A	N/A	N/A	N/A	false
T19C3.5	0.8488256920620113	0.954563684746867	0.9995692703162754	0.04653977548417534	false
Y54G2A.32	N/A	N/A	N/A	N/A	false
Y54G2A.31	0.6513477907304381	3.396042859342275E-5	0.0	0.38162874910037964	true
C10H11.8b	N/A	N/A	N/A	N/A	false
ZK652.11	0.8570342355325898	0.5912245239119565	0.9995692703162754	0.038992635010572464	false
F15G9.1c	N/A	N/A	N/A	N/A	false
ZK822.2	0.7973210646662117	0.9524877268343677	0.9995692703162754	0.10310410010956944	false
F15G9.1a	N/A	N/A	N/A	N/A	false
T28D6.6b	N/A	N/A	N/A	N/A	false
Y55B1AR.1	0.8858983917518651	0.9695650724700459	0.9995692703162754	0.06571191065400202	false
T28D6.6a	0.8655679204160571	0.33250535159912775	0.9995692703162754	0.011046817655705766	false
Y53F4A.2	N/A	N/A	N/A	N/A	false
C17H12.14	0.9354918205935329	0.9763706670325103	0.9995692703162754	0.03312623481503945	false
F39C12.1	N/A	N/A	N/A	N/A	false
Y54G2A.23	0.6908560203668271	0.896011777327693	0.9995692703162754	0.19065028848280421	false
R07E4.3	0.7749446834937265	0.4254343874502684	0.9995692703162754	0.04891302591338813	false
