Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
sp|O53871|Y0859_MYCTU	0.9143499307089904	8.465027019581068E-5	0.053880414440599295	0.033272108162359634	false
sp|P9WI73|PKNG_MYCTU	0.8469963439216774	0.09370498919042866	0.4117940563170107	0.007285656931008065	false
tr|I6XES4|I6XES4_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53157|O53157_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJG9|NUOI_MYCTU	0.8645756180491452	0.01802938436485257	0.21601147971185716	0.02422235705101289	false
sp|P9WGS9|DPRE2_MYCTU	0.9252763608745843	0.4675183674242952	0.7112462403731526	0.0161474840271207	false
sp|P9WPW1|Y3551_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNF3|MP83_MYCTU	0.9067129629629629	N/A	N/A	0.04416645391881531	false
tr|O06298|O06298_MYCTU	0.8924102558512654	0.7213786435825543	0.8516089978143956	0.021255161678718177	false
tr|P96832|P96832_MYCTU	0.8794336745463582	1.3145543110340944E-6	0.039577613516367474	0.06693350249885978	false
sp|P9WNY1|ALDH_MYCTU	0.8934904215025187	0.5673012297075085	0.7669669074852699	2.2113710038179228E-4	false
tr|I6YG46|I6YG46_MYCTU	0.7410946362203968	0.700393640896683	0.842762180087989	0.03354525486109514	false
tr|O05572|O05572_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WML3|YHI1_MYCTU	0.6769556602914807	N/A	N/A	0.11542425016364963	false
tr|O05772|O05772_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05872|O05872_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH23|QCRA_MYCTU	0.866593837084428	0.01332319535364562	0.18500472984864486	0.02485061636360045	false
sp|P9WQD7|FAB2_MYCTU	0.9052448489176281	0.10056989508543128	0.4193654412330328	0.01452192197430706	false
tr|I6Y120|I6Y120_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNV3|LIGD_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6XW38|I6XW38_MYCTU	0.8723449858397044	0.08797798888670681	0.4025415391835666	0.015395498650310284	false
tr|I6Y0L1|I6Y0L1_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y3Q0|I6Y3Q0_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQP1|A85B_MYCTU	0.9649525800045037	0.04464605633356125	0.3157449448539176	0.009809877577857442	false
tr|P96273|P96273_MYCTU	0.7953670791726729	0.18477002870313564	0.5004727290587166	0.01904612799630783	false
sp|P9WKE7|KHSE_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH03|RNC_MYCTU	0.7987853860337374	N/A	N/A	0.030766367708562822	false
sp|P9WL65|Y2628_MYCTU	0.8810083575153573	0.9628685795843489	0.9806021998145733	0.03492409293781694	false
tr|P96873|P96873_MYCTU	N/A	N/A	N/A	N/A	false
tr|O33182|O33182_MYCTU	0.7884910869724081	0.030454012912949198	0.26727738998066347	0.07437515484001807	false
sp|P9WHL7|PURL_MYCTU	0.9040663754136992	0.3541687861610039	0.6418274361252185	0.006166104436366863	false
tr|I6YCR8|I6YCR8_MYCTU	N/A	N/A	N/A	N/A	false
tr|O33282|O33282_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WGJ9|EMBR_MYCTU	0.8470739419757617	0.04523546330497555	0.3158293558606125	0.03147364272414415	false
tr|I6YG87|I6YG87_MYCTU	N/A	N/A	N/A	N/A	false
tr|O86348|O86348_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNC7|HPPK_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53874|O53874_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKJ7|ILVC_MYCTU	0.9225507099073893	0.020964229494602884	0.2307910716928317	0.015898153024646002	false
sp|P9WIW7|NUOA_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKZ7|Y3400_MYCTU	0.763967982551678	0.001195476254307456	0.06108718607961067	0.10584663603206368	false
tr|P96900|P96900_MYCTU	0.8314419717918916	0.08880430044776655	0.4025415391835666	0.026461481798164776	false
tr|O06417|O06417_MYCTU	N/A	N/A	N/A	N/A	false
sp|O53565|Y3520_MYCTU	0.8421932111665986	0.005777758111990021	0.11060209215299069	0.058049237191120366	false
tr|P95208|P95208_MYCTU	0.9243207552305194	0.36615561928408336	0.649385316511977	0.001891551833155136	false
sp|P9WK93|LGT_MYCTU	0.7396496250487627	0.05790765710011429	0.34996523526806916	0.05778045712684543	false
sp|O07779|VPB27_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFK5|Y038_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFY7|TRMD_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53901|O53901_MYCTU	0.8137019854446852	0.9147193426932259	0.9461659143390928	0.06236975047932876	false
tr|O07419|O07419_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJK5|MUTB_MYCTU	0.8914141414141414	N/A	N/A	0.04168352893565347	false
tr|I6Y4E8|I6Y4E8_MYCTU	0.8724415852615012	0.18084887487732082	0.4971757143187477	0.01431209935425316	false
sp|P9WKS5|Y634A_MYCTU	0.7826139879745374	0.2958290923249718	0.5974080310511145	0.003158659028708449	false
sp|P9WNR7|ECCB1_MYCTU	N/A	N/A	N/A	N/A	false
tr|P96241|P96241_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH35|RS4_MYCTU	0.9209400060418516	4.1004913269694664E-4	0.053880414440599295	0.03163639784693233	false
tr|I6Y9E8|I6Y9E8_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNI1|ES6LB_MYCTU	0.8559069914263788	N/A	N/A	0.017678416517431354	false
tr|P96890|P96890_MYCTU	0.942362510121263	0.23824311014402055	0.5545854667104434	0.0019561888891410197	false
sp|P9WJF3|CWSA_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFT5|SYT_MYCTU	0.900088095622178	0.007388562163255005	0.1251016519195524	0.02768387355273296	false
tr|P96941|P96941_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WMP7|HEM1_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNN5|ECH14_MYCTU	0.7312760317102562	0.5918041291869346	0.7786465267894036	0.031462585977667726	false
sp|P9WJC5|ESPI_MYCTU	0.8622107036602664	0.1765307662252582	0.49428429215375236	0.018534740496279383	false
tr|O05899|O05899_MYCTU	0.6906944558397324	0.15939091468381705	0.47778380281020194	0.13614315590339354	false
sp|P9WND3|FMT_MYCTU	0.7091343442034665	N/A	N/A	0.02172041582737271	false
sp|P9WP37|QCRB_MYCTU	0.8215747471690852	0.25484046811204636	0.565707716743646	0.011303918729521138	false
sp|P9WIA1|PTPA_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHB7|RL24_MYCTU	0.9232498101144211	0.36269055367495573	0.6460693431723228	0.004938530434144084	false
tr|O53842|O53842_MYCTU	0.9015025469658349	0.0010323762911630416	0.059455159318309886	0.035527693423760436	false
tr|O06583|O06583_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WFC7|UVRB_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95125|P95125_MYCTU	0.895023885327881	6.522918846752481E-4	0.053880414440599295	0.027818917874406716	false
tr|Q50584|Q50584_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHF1|RIBBA_MYCTU	0.8592448809286264	0.1733804862792695	0.4932608174237539	0.0021752550947896077	false
sp|P9WPZ1|Y1496_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQG1|ACDP_MYCTU	0.9577519480590718	0.05911389660865855	0.3521674684187884	8.53276633797621E-4	false
tr|I6X562|I6X562_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05318|O05318_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WGL7|Y3143_MYCTU	0.7397185168895805	0.45148199913457066	0.7034341740758951	2.605203364176049E-4	false
sp|P9WGB5|METZ_MYCTU	0.8125467360608191	0.10237194092626577	0.42357859093963535	0.02415020954477781	false
sp|P9WIU1|ORN_MYCTU	0.8002442475252484	N/A	N/A	0.04846365253714536	false
tr|I6XFF7|I6XFF7_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53410|O53410_MYCTU	N/A	N/A	N/A	N/A	false
tr|O07428|O07428_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJ69|RSHA_MYCTU	N/A	N/A	N/A	N/A	false
tr|O07728|O07728_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06302|O06302_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHI9|RECF_MYCTU	N/A	N/A	N/A	N/A	false
tr|Q6MWX1|Q6MWX1_MYCTU	0.7856747404618316	0.07565654697212651	0.38041974191217415	0.04330421180048991	false
tr|L7N675|L7N675_MYCTU	0.8277201783262932	0.07126830443338329	0.37019634904896687	0.03573139028382839	false
sp|P9WPE5|CH10_MYCTU	0.9567955387665601	0.002168128189153252	0.07915522703273495	0.016855536890542214	false
sp|P9WMJ7|HTPG_MYCTU	0.9288454963114864	0.00290504981117565	0.08410242872228088	0.016134982510134087	false
tr|P71922|P71922_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6YEE1|I6YEE1_MYCTU	N/A	N/A	N/A	N/A	false
tr|O33177|O33177_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06802|O06802_MYCTU	0.6541407956686623	0.041629079601478165	0.3048437640278912	0.0531104092849351	false
sp|P9WGT3|FABG_MYCTU	0.9060101428783062	0.0043940813536013	0.10089687656310788	0.02445847211378854	false
sp|P9WP79|FBIB_MYCTU	N/A	N/A	N/A	N/A	false
