Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
Y45F10C.2	0.8450689278329065	0.06542676507161621	0.7432298247629258	0.01659686654271342	false
F52E1.14	0.7777777777777778	N/A	N/A	0.28571428571428553	true
Y62E10A.12	0.8734313046206824	0.1352333295953482	1.0	0.033569595653095245	false
B0228.7	0.8269821388383841	0.9878600863412126	1.0	0.10138463949322926	false
Y62E10A.10	N/A	N/A	N/A	N/A	false
Y48E1A.1a	N/A	N/A	N/A	N/A	false
Y97E10AR.7	0.7981434801636257	0.60934767076468	1.0	0.06655487281885601	false
Y97E10AR.6	N/A	N/A	N/A	N/A	false
Y97E10AR.5	N/A	N/A	N/A	N/A	false
C17D12.2	N/A	N/A	N/A	N/A	false
E01G4.1	0.6596349726692172	N/A	N/A	0.34652340905893986	true
D2005.5	N/A	N/A	N/A	N/A	false
ZC482.7	N/A	N/A	N/A	N/A	false
K08F9.2	0.8142664671842713	0.8544317238721324	1.0	0.11377550209502933	false
D2005.1	N/A	N/A	N/A	N/A	false
Y39A1B.3	N/A	N/A	N/A	N/A	false
C10C6.6	N/A	N/A	N/A	N/A	false
H21P03.1	0.5921696936573309	N/A	N/A	0.13995260450651714	false
C49F8.3	N/A	N/A	N/A	N/A	false
C04G2.9	0.7728558895109958	0.9037097896096005	1.0	0.07926078293344559	false
C04G2.6	N/A	N/A	N/A	N/A	false
C10C5.6b	N/A	N/A	N/A	N/A	false
C10C5.6a	N/A	N/A	N/A	N/A	false
C04G2.4	0.8822711076424826	0.8034365415903488	1.0	0.03334490444685114	false
Y51H1A.5	0.7810691144870345	0.9999027987501209	1.0	0.1925027010155877	false
C04F12.5	N/A	N/A	N/A	N/A	false
C04F12.4	0.903449621125681	0.8676996402761141	1.0	0.026069348253645094	false
F26E4.8b	0.9374649568432306	0.9475671145114599	1.0	0.027647474506180693	false
F26E4.8a	0.9374649568432306	0.9475671145114599	1.0	0.027647474506180693	false
T25G3.4	0.7882046370463007	0.5076149672282964	1.0	0.03705367290631263	false
T25G3.3	N/A	N/A	N/A	N/A	false
K10C3.3	N/A	N/A	N/A	N/A	false
T25G3.1	N/A	N/A	N/A	N/A	false
JC8.8	0.8840548468155025	0.854665914367194	1.0	0.052405382483861805	false
C34F6.8	0.8024012096270735	7.926891325368568E-4	0.06257167772111091	0.12095745105000051	false
JC8.2	N/A	N/A	N/A	N/A	false
C34F6.1	1.0	N/A	N/A	0.0	false
C32E8.2b	0.9359627242107975	0.9346068390184616	1.0	0.03857133836091882	false
C32E8.2a	0.9277641420114513	0.6739798160172246	1.0	0.007632282266578574	false
Y57G11A.1d	0.6791167465599716	0.9593826445242362	1.0	0.2011797154788867	true
Y57G11A.1b	0.6788329247150733	0.8838711582974088	1.0	0.1535985986943412	false
F25G6.9	0.797388866780723	0.6188757514182	1.0	0.05274236144782763	false
Y57G11A.1a	0.5882641525647885	N/A	N/A	0.18137343478855963	false
F25G6.8	N/A	N/A	N/A	N/A	false
F25G6.2	N/A	N/A	N/A	N/A	false
F47D12.4c	0.781442603397256	0.9581619481569714	1.0	0.09066496760118704	false
F47D12.4b	0.7725449667350732	0.9498915965655922	1.0	0.09120445498764027	false
H06H21.8b	N/A	N/A	N/A	N/A	false
F21D5.7	0.7332864504382726	0.2542292882642279	1.0	0.024873410341615207	false
F47D12.4a	0.7725449667350732	0.9498915965655922	1.0	0.09120445498764027	false
H06H21.8a	N/A	N/A	N/A	N/A	false
Y51A2D.19m	N/A	N/A	N/A	N/A	false
Y51A2D.19l	N/A	N/A	N/A	N/A	false
Y51A2D.19k	N/A	N/A	N/A	N/A	false
Y51A2D.19j	N/A	N/A	N/A	N/A	false
F21D5.1	0.8695560345869482	0.988324747535306	1.0	0.08632097257375228	false
Y51A2D.19i	N/A	N/A	N/A	N/A	false
Y51A2D.19h	N/A	N/A	N/A	N/A	false
Y51A2D.19g	N/A	N/A	N/A	N/A	false
Y51A2D.19f	N/A	N/A	N/A	N/A	false
Y51A2D.19e	N/A	N/A	N/A	N/A	false
Y51A2D.19d	N/A	N/A	N/A	N/A	false
