ProteinID	CR1F1	CR1F2	CR1F3	CR1F4	CR1F5	CR1F6	CR1F7	CR1F8	CR1F9	CR1F10	DR1F1	DR1F2	DR1F3	DR1F4	DR1F5	DR1F6	DR1F7	DR1F8	DR1F9	DR1F10	CR2F1	CR2F2	CR2F3	CR2F4	CR2F5	CR2F6	CR2F7	CR2F8	CR2F9	CR2F10	DR2F1	DR2F2	DR2F3	DR2F4	DR2F5	DR2F6	DR2F7	DR2F8	DR2F9	DR2F10	CR3F1	CR3F2	CR3F3	CR3F4	CR3F5	CR3F6	CR3F7	CR3F8	CR3F9	CR3F10	DR3F1	DR3F2	DR3F3	DR3F4	DR3F5	DR3F6	DR3F7	DR3F8	DR3F9	DR3F10	CR4F1	CR4F2	CR4F3	CR4F4	CR4F5	CR4F6	CR4F7	CR4F8	CR4F9	CR4F10
Y111B2A.2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	3	0	4	3	0	0	0	0	0	0
Y111B2A.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0
M01E11.2	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
M01E11.5	2	3	8	11	0	0	0	0	2	5	2	2	6	8	3	0	0	0	2	3	4	0	8	8	2	0	0	0	5	3	2	4	8	9	3	0	0	0	4	2	2	2	7	13	6	0	0	0	3	4	2	5	10	19	6	0	0	0	5	0	6	0	8	12	2	0	0	2	6	0
Y87G2A.8b	0	3	10	29	91	57	3	0	0	0	0	5	5	25	87	70	11	3	0	2	0	4	10	22	106	37	0	0	0	3	0	4	7	29	80	32	0	0	0	0	0	4	3	9	59	114	8	0	0	0	0	3	8	6	58	120	12	2	0	0	0	0	15	26	28	99	9	0	0	0
F45G2.4	16	9	3	0	0	0	0	0	0	0	9	9	3	0	0	0	0	0	0	0	19	14	7	0	0	0	0	0	0	0	12	9	3	0	0	0	0	0	0	0	20	16	11	4	2	0	0	0	0	0	15	16	6	2	0	0	0	0	0	0	16	14	10	5	3	0	0	0	0	0
F45G2.8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ZK512.2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Y37E3.9	74	32	12	3	0	0	0	0	0	0	64	33	8	0	0	0	0	0	0	2	68	38	12	0	0	0	0	0	3	3	69	38	12	0	0	0	0	0	0	2	83	43	27	10	0	0	0	0	0	0	96	42	17	7	0	0	0	0	0	0	58	56	59	28	10	0	0	0	0	0
ZK512.2a	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Y37E3.7	21	23	18	23	16	10	6	0	0	0	16	25	21	22	19	16	8	3	2	0	21	23	19	23	18	10	6	0	0	0	18	20	20	21	21	19	6	0	0	2	21	31	30	29	37	15	12	7	3	0	21	33	38	35	33	17	11	3	0	2	22	30	33	31	14	17	9	0	0	0
Y37E3.3	5	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0
Y37E3.4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
C30F12.7	12	7	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	11	8	3	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	14	13	5	0	0	0	0	0	0	0	17	9	4	0	0	0	0	0	0	0	15	16	8	2	0	0	0	0	0	0
C18C4.10a	0	0	7	5	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	4	16	3	0	0	0	0	0	2	4	9	11	0	0	0	0	0	0	0	2	10	14	0	0	0	0	0	0
C18C4.10d	0	0	7	5	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	4	15	3	0	0	0	0	0	2	4	9	11	0	0	0	0	0	0	0	2	10	14	0	0	0	0	0	0
F53G12.10	117	105	46	5	0	0	0	0	0	0	116	94	44	2	0	0	0	0	0	0	117	103	70	9	0	0	0	0	0	0	106	101	53	5	0	0	0	0	0	0	115	111	77	9	0	0	0	0	0	0	103	98	57	5	0	0	0	0	0	0	89	61	69	10	0	0	0	0	0	0
T24A6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
F58G6.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	3	0	0	0
W03G11.3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	18	6	0
Reverse_Y22D7AR.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0025.2	2	0	3	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	8	5	7	3	0	0	0	0	0	0
C35A5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	7	8	6	2	0	0	0	0	0	0
F08A8.1b	2	0	0	0	0	6	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	0	0	0	3	3	0	0	0	2	0	0	2	0	0	6	0	0	0	0	3	0	0	0	3	4	0	0	0	0	4	0	0	0	0	15	0	0	0	0	7	6	0	0	6	6	0	0	0
F08A8.1c	2	0	0	0	0	6	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	0	0	0	3	3	0	0	0	2	0	0	2	0	0	6	0	0	0	0	3	0	0	0	4	4	0	0	0	0	3	0	0	0	0	16	0	0	0	0	8	6	0	0	7	7	0	0	0
F08A8.1a	2	0	0	0	0	6	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	0	0	0	3	3	0	0	0	2	0	0	2	0	0	6	0	0	0	2	3	0	0	0	5	5	0	0	0	0	4	0	0	0	2	17	0	0	0	0	8	7	0	0	7	8	0	0	0
Y71F9AL.16	4	2	6	5	7	12	0	0	0	0	4	4	5	6	4	8	0	0	0	0	4	0	5	4	5	9	0	0	0	0	4	0	5	0	5	2	0	0	0	0	2	6	0	9	2	8	7	0	0	0	4	5	7	7	6	6	4	0	0	0	6	6	3	5	3	10	5	0	0	0
Y71F9AL.17	52	25	18	3	0	0	0	0	0	0	44	35	9	0	0	0	0	0	0	0	46	49	26	0	0	0	0	0	0	0	36	46	21	2	0	0	0	0	0	0	55	63	13	6	0	0	0	0	0	0	45	46	14	4	0	0	0	0	0	0	73	57	40	6	0	0	0	0	0	0
Reverse_F57B10.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
F59D8.1	273	351	456	305	79	30	18	28	21	31	260	364	433	312	114	37	36	35	25	33	279	371	474	248	79	21	20	25	22	29	249	355	386	286	119	31	15	20	22	34	302	398	445	429	152	38	22	22	15	14	285	373	449	403	179	45	24	28	23	12	355	278	590	342	91	82	15	13	12	13
F59D8.2	271	354	448	298	78	31	22	29	27	32	256	366	436	306	113	36	40	37	28	33	269	364	465	238	78	24	25	29	26	30	241	351	389	273	118	30	20	21	25	34	291	392	460	419	147	42	23	25	24	17	277	367	453	383	172	49	27	29	28	11	335	267	580	320	91	77	16	15	14	13
Y43F8B.1c	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	2	0	0	5	0	0	0	0	3	2	0	0	0	10	0	0	0	0	0	0	0	0	0
Y43F8B.1d	6	0	0	0	0	0	0	0	2	4	11	0	0	0	0	3	4	3	2	7	24	0	0	0	0	0	2	0	5	9	16	0	0	0	0	0	0	0	6	8	8	0	0	0	0	3	7	9	2	6	9	0	0	0	0	6	6	4	5	9	16	0	0	0	0	0	0	0	4	2
Y43F8B.1a	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	3	6	0	0	0	0	2	3	3	0	0	7	0	0	0	0	3	3	0	0	3	12	0	0	0	0	0	0	0	0	0
Y43F8B.1b	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	3	7	0	0	0	0	2	4	4	0	0	8	0	0	0	0	4	4	2	0	3	13	0	0	0	0	0	0	0	0	0
